Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
WR,Travis Fulgham (19363301),Travis Fulgham,19363301,FLEX,200,PHI@DAL 09/27/2021 08:15PM ET,PHI,0
WR,Robert Foster (19363302),Robert Foster,19363302,FLEX,200,PHI@DAL 09/27/2021 08:15PM ET,DAL,0
TE,Nick Ralston (19363303),Nick Ralston,19363303,FLEX,200,PHI@DAL 09/27/2021 08:15PM ET,DAL,0
WR,Michael Walker (19363304),Michael Walker,19363304,FLEX,200,PHI@DAL 09/27/2021 08:15PM ET,PHI,0
WR,Brandon Smith (19363305),Brandon Smith,19363305,FLEX,200,PHI@DAL 09/27/2021 08:15PM ET,DAL,0
RB,JaQuan Hardy (19363306),JaQuan Hardy,19363306,FLEX,200,PHI@DAL 09/27/2021 08:15PM ET,DAL,0
RB,Jason Huntley (19363307),Jason Huntley,19363307,FLEX,200,PHI@DAL 09/27/2021 08:15PM ET,PHI,0
TE,Ian Bunting (19363308),Ian Bunting,19363308,FLEX,200,PHI@DAL 09/27/2021 08:15PM ET,DAL,0
WR,Simi Fehoko (19363309),Simi Fehoko,19363309,FLEX,200,PHI@DAL 09/27/2021 08:15PM ET,DAL,0
TE,Jason Croom (19363310),Jason Croom,19363310,FLEX,200,PHI@DAL 09/27/2021 08:15PM ET,PHI,0
WR,Noah Brown (19363311),Noah Brown,19363311,FLEX,200,PHI@DAL 09/27/2021 08:15PM ET,DAL,0
RB,Rico Dowdle (19363312),Rico Dowdle,19363312,FLEX,200,PHI@DAL 09/27/2021 08:15PM ET,DAL,0
TE,Jack Stoll (19363313),Jack Stoll,19363313,FLEX,200,PHI@DAL 09/27/2021 08:15PM ET,PHI,0
WR,Damion Ratley (19363314),Damion Ratley,19363314,FLEX,200,PHI@DAL 09/27/2021 08:15PM ET,DAL,0
TE,Jeremy Sprinkle (19363315),Jeremy Sprinkle,19363315,FLEX,200,PHI@DAL 09/27/2021 08:15PM ET,DAL,0
WR,John Hightower (19363316),John Hightower,19363316,FLEX,200,PHI@DAL 09/27/2021 08:15PM ET,PHI,0
RB,Jordan Howard (19363317),Jordan Howard,19363317,FLEX,200,PHI@DAL 09/27/2021 08:15PM ET,PHI,0
WR,KeeSean Johnson (19363318),KeeSean Johnson,19363318,FLEX,200,PHI@DAL 09/27/2021 08:15PM ET,PHI,0
TE,Nick Eubanks (19363319),Nick Eubanks,19363319,FLEX,200,PHI@DAL 09/27/2021 08:15PM ET,PHI,0
WR,T.J. Vasher (19363320),T.J. Vasher,19363320,FLEX,200,PHI@DAL 09/27/2021 08:15PM ET,DAL,0
WR,Malik Turner (19363321),Malik Turner,19363321,FLEX,200,PHI@DAL 09/27/2021 08:15PM ET,DAL,0
TE,Tyree Jackson (19363322),Tyree Jackson,19363322,FLEX,200,PHI@DAL 09/27/2021 08:15PM ET,PHI,0
TE,Sean McKeon (19363323),Sean McKeon,19363323,FLEX,200,PHI@DAL 09/27/2021 08:15PM ET,DAL,0
