PlayerName,PointCostRatio_x,PointCostRatio_y,Average,StandardDeviation
Jalen Brunson ,51.4517985605798,21.938974483559512,51.4517985605798,21.938974483559512
Jrue Holiday ,51.43833705660506,15.35430099086568,51.43833705660506,15.35430099086568
Lonzo Ball ,51.39934779340111,18.70723902841359,51.39934779340111,18.70723902841359
JaVale McGee ,51.3786653341567,24.39441957291417,51.3786653341567,24.39441957291417
Malcolm Brogdon ,51.37161537188425,16.063620014107837,51.37161537188425,16.063620014107837
Chris Paul ,51.35518940994424,15.127947341054638,51.35518940994424,15.127947341054638
Isaiah Stewart ,51.33283880571133,23.424259988224346,51.33283880571133,23.424259988224346
Armoni Brooks ,51.29408585416131,26.617146543694915,51.29408585416131,26.617146543694915
Pascal Siakam ,51.27164859136859,17.10777383557348,51.27164859136859,17.10777383557348
Rudy Gobert ,51.08282939715733,13.426090046585157,51.08282939715733,13.426090046585157
OG Anunoby ,51.05174634638338,16.114955175304846,51.05174634638338,16.114955175304846
Harrison Barnes ,51.021904557605374,16.934539389110444,51.021904557605374,16.934539389110444
De'Aaron Fox ,51.01102289197357,15.79254980701113,51.01102289197357,15.79254980701113
Evan Fournier ,50.845105317717625,21.31766252579991,50.845105317717625,21.31766252579991
Anthony Edwards ,50.78723086285735,16.60254424024679,50.78723086285735,16.60254424024679
Kenyon Martin Jr. ,50.74066200684695,29.679481955235058,50.74066200684695,29.679481955235058
Alec Burks ,50.61857184793182,25.5803513298801,50.61857184793182,25.5803513298801
Dejounte Murray ,50.61452273373715,16.606911693855125,50.61452273373715,16.606911693855125
Fred VanVleet ,50.61125917421108,16.460713927823008,50.61125917421108,16.460713927823008
Derrick Rose ,50.59786776926666,18.339521984275965,50.59786776926666,18.339521984275965
Jusuf Nurkić ,50.56902758997143,19.53841495774911,50.56902758997143,19.53841495774911
Draymond Green ,50.53342215168689,17.79659949608158,50.53342215168689,17.79659949608158
Mike Conley ,50.53094478847469,14.479131944196988,50.53094478847469,14.479131944196988
Zion Williamson ,50.507895673981146,11.289535482133736,50.507895673981146,11.289535482133736
Josh Hart ,50.47192473650678,21.139030333795247,50.47192473650678,21.139030333795247
Hamidou Diallo ,50.460362884246315,25.99748437937549,50.460362884246315,25.99748437937549
Naz Reid ,50.348420057536785,21.23719404487673,50.348420057536785,21.23719404487673
Kevin Durant ,50.32389284974801,14.3182588088458,50.32389284974801,14.3182588088458
Kyle Anderson ,50.24367178598867,16.03621251342169,50.24367178598867,16.03621251342169
Caris LeVert ,50.213888643295526,17.079245514668976,50.213888643295526,17.079245514668976
LeBron James ,50.192744151936466,10.548012398606671,50.192744151936466,10.548012398606671
Jerami Grant ,50.17370844798572,15.820384359063725,50.17370844798572,15.820384359063725
Justise Winslow ,50.138050335075455,31.14247775996567,50.138050335075455,31.14247775996567
Kyrie Irving ,50.04960723655352,11.985727190321741,50.04960723655352,11.985727190321741
Terry Rozier ,50.04149852849057,16.73081858810545,50.04149852849057,16.73081858810545
Collin Sexton ,50.03250839059178,13.460876901393592,50.03250839059178,13.460876901393592
Shai Gilgeous-Alexander ,50.01054700790181,14.624090649159385,50.01054700790181,14.624090649159385
Myles Turner ,49.98466545372861,16.329490917425826,49.98466545372861,16.329490917425826
De'Anthony Melton ,49.966043614999606,25.641047714994183,49.966043614999606,25.641047714994183
