,index_x,PlayerName,Average,StandardDeviation,Average_STD_Ratio,GamesPlayed,level_0,index_y,Unnamed: 0,Name,Pos.,Height,From,To,Seasons
138,146,Moses Brown,47.72922544857662,30.539645290988965,1.562861159447049,42,69,69,47,Moses Brown,C,2.18/ 7'2'',2019,2021,2
139,147,RJ Barrett,47.707756401996896,14.406217481209568,3.3116087872631006,70,31,31,9,RJ Barrett,SF/SG,1.98/ 6'6'',2019,2021,2
140,148,Andre Drummond,47.7044731331609,18.26730225123646,2.6114678827264672,43,131,131,18,Andre Drummond,C,2.08/ 6'10'',2012,2021,9
141,149,Dennis Schröder,47.6259289264521,14.441221583237839,3.2979155296482876,58,426,426,4,Dennis Schröder,PG/SG,1.85/ 6'1'',2013,2021,8
142,150,Jae Crowder,47.59302354492043,18.85691820228745,2.5239025292662682,57,108,108,28,Jae Crowder,PF/SF,1.98/ 6'6'',2012,2021,9
143,151,Mikal Bridges,47.555122448891154,17.31337668736586,2.746727187169311,68,59,59,37,Mikal Bridges,SF/SG,1.98/ 6'6'',2018,2021,3
144,152,Marcus Smart,47.53655368010062,13.291088125137874,3.5765735079427516,45,437,437,15,Marcus Smart,SG/PG,1.91/ 6'3'',2014,2021,7
145,153,Norman Powell,47.5341289134569,17.648438024848744,2.693390137219483,68,394,394,18,Norman Powell,SF/SG,1.91/ 6'3'',2015,2021,6
146,154,Jae'Sean Tate,47.52200105319046,17.88990155004665,2.6563590034438476,69,449,449,0,Jae'Sean Tate,SF/PF,1.93/ 6'4'',2020,2021,1
147,155,Wendell Carter Jr.,47.50341419001346,16.703762793649013,2.843875046410194,53,87,87,7,Wendell Carter Jr.,C,2.06/ 6'9'',2018,2021,3
148,156,Joe Ingles,47.49260520851075,18.411816254914868,2.5794633484805187,64,227,227,2,Joe Ingles,SF/SG,2.01/ 6'7'',2014,2021,7
149,157,De'Andre Hunter,47.42562068219884,18.254966616461424,2.597957130167128,22,221,221,40,De'Andre Hunter,SF/PF,2.01/ 6'7'',2019,2021,2
150,158,Frank Kaminsky,47.39335540298211,28.484318662962178,1.6638402330685595,44,260,260,2,Frank Kaminsky,C/PF,2.13/ 7'0'',2015,2021,6
151,159,Killian Hayes,47.3456718265178,26.680736912085443,1.7745263926751538,25,197,197,16,Killian Hayes,PG,1.96/ 6'5'',2020,2021,1
152,160,Khem Birch,47.30501747619014,24.254103396409192,1.950392339928493,65,44,44,22,Khem Birch,C,2.06/ 6'9'',2017,2021,4
153,161,Saddiq Bey,47.23754795483333,26.83696312581483,1.7601674128841691,69,42,42,20,Saddiq Bey,SF/PF,2.03/ 6'8'',2020,2021,1
154,162,Buddy Hield,47.23132769292877,14.543126876058443,3.247673495215333,69,203,203,22,Buddy Hield,SG/SF,1.93/ 6'4'',2016,2021,5
155,164,Isaac Okoro,47.21476648819322,21.619089165146463,2.1839387463330886,65,365,365,5,Isaac Okoro,SF/SG,1.98/ 6'6'',2020,2021,1
156,166,Kentavious Caldwell-Pope,47.188288452307766,20.24360344521686,2.331022171028418,64,81,81,1,Kentavious Caldwell-Pope,SG/SF,1.96/ 6'5'',2013,2021,8
157,169,Daniel Gafford,47.12190942782706,25.07241127422025,1.879432692470164,53,153,153,1,Daniel Gafford,C,2.08/ 6'10'',2019,2021,2
158,170,Royce O'Neale,47.085000848892825,16.836619746771657,2.796582779504844,68,371,371,11,Royce O'Neale,PF/SF,1.93/ 6'4'',2017,2021,4
159,171,Darius Bazley,47.02906290416214,17.305549510831174,2.7175711973045207,55,36,36,14,Darius Bazley,PF,2.03/ 6'8'',2019,2021,2
160,172,Taurean Prince,46.94940649216085,23.396870517094012,2.006653259796394,41,397,397,21,Taurean Prince,PF/SF,2.01/ 6'7'',2016,2021,5
161,173,Josh Richardson,46.89707420703917,16.986143854699087,2.7609017448692716,58,408,408,7,Josh Richardson,SG/SF,1.96/ 6'5'',2015,2021,6
162,174,Luguentz Dort,46.88981874854399,23.36501005851939,2.006839228021087,51,125,125,12,Luguentz Dort,SG/SF,1.91/ 6'3'',2019,2021,2
163,175,Théo Maledon,46.879605319763236,18.528417630991125,2.5301461923737705,63,299,299,0,Théo Maledon,PG,1.91/ 6'3'',2020,2021,1
164,177,Derrick Favors,46.844607824205454,16.815140956488623,2.7858587653485634,67,143,143,1,Derrick Favors,C/PF,2.06/ 6'9'',2010,2021,11
