PlayerName,PointCostRatio
Matthew Dellavedova ,38.43467248266009
Markieff Morris ,38.390340719257196
Timothé Luwawu-Cabarrot ,38.38063713011922
Yuta Watanabe ,38.20357459093397
Dante Exum ,38.08635944665357
Onyeka Okongwu ,37.959184894831196
Brandon Goodwin ,37.94816372609242
Stanley Johnson ,37.93349001947095
Rodney McGruder ,37.85545569034065
Max Strus ,37.75114723781859
Maurice Harkless ,37.59511765868544
Luke Kornet ,37.419466845878134
Dylan Windler ,37.235134880041166
J.J. Redick ,37.15087113629415
Jevon Carter ,37.05336078101817
John Konchar ,36.78841457646901
Cody Martin ,36.58386630201893
Tyler Cook ,36.577572782839916
Precious Achiuwa,36.55952425395528
Caleb Martin ,36.55116308468145
Mychal Mulder ,36.531878220778175
T.J. Warren ,36.522925661280894
Grant Williams ,36.4827481466726
Tony Snell ,36.44545003972698
Tyler Johnson ,36.00397796926164
Trey Lyles ,35.72148249633722
Solomon Hill ,35.47190635403886
Jake Layman ,35.353716108773135
Tremont Waters ,35.219799330315034
Troy Brown Jr. ,35.07579136054443
Paul Reed ,34.998389097653806
Kelan Martin ,34.994339192557284
Chris Chiozza ,34.77986317344036
DaQuan Jeffries ,34.71046721792822
Patrick Patterson ,34.64396289194676
Boban Marjanović ,34.517427076703235
Lamar Stevens ,34.45865285378264
Jabari Parker ,34.43856456724104
P.J. Tucker ,34.43234672658447
Trey Burke ,34.38787267548134
Ed Davis ,34.17606898373876
Brodric Thomas ,33.994716068245474
Aaron Nesmith ,33.989202150966854
Gabe Vincent ,33.767172408803305
Sekou Doumbouya ,33.5828866368726
Nassir Little ,33.52316291297292
JaKarr Sampson ,33.089555876372465
Josh Hall ,33.03565381838627
Amir Coffey ,32.97335203366059
Mike Scott ,32.952678065028955
Mason Jones ,32.85818360888671
Paul Watson ,32.85439514217103
Mamadi Diakite ,32.83541055718475
Semi Ojeleye ,32.64633256947522
Wenyen Gabriel ,32.54440405398067
Jarrett Culver ,32.35345614041875
Chandler Hutchison ,32.332638992347135
Wesley Matthews ,32.32940951048805
E'Twaun Moore ,32.24607211496857
Thanasis Antetokounmpo ,32.127989091225345
Nico Mannion ,31.99333239490541
Harry Giles ,31.776351600940956
Nathan Knight ,31.580845521939487
Nicolò Melli ,31.578409126292197
Spencer Dinwiddie ,31.452020202020204
