,Name,Pos.,Height,From,To,Seasons
14,Russell Westbrook,PG/SG,1.91/ 6'3'',2008,2021,13
15,Coby White,PG/SG,1.93/ 6'4'',2019,2021,2
16,Derrick White,SG/PG,1.93/ 6'4'',2017,2021,4
17,Hassan Whiteside,C,2.13/ 7'0'',2010,2021,9
20,Andrew Wiggins,SF/SG,2.01/ 6'7'',2014,2021,7
21,Grant Williams,PF,1.98/ 6'6'',2019,2021,2
22,Kenrich Williams,SF,1.98/ 6'6'',2018,2021,3
23,Louis Williams,SG/PG,1.85/ 6'1'',2005,2021,16
24,Patrick Williams,PF/SF,2.03/ 6'8'',2020,2021,1
25,Robert Williams,C,2.03/ 6'8'',2018,2021,3
27,Zion Williamson,PF,1.98/ 6'6'',2019,2021,2
28,Dylan Windler,SG/SF,1.98/ 6'6'',2020,2021,1
29,Justise Winslow,PF/SF,1.98/ 6'6'',2015,2021,6
30,Cassius Winston,PG,1.85/ 6'1'',2020,2021,1
31,James Wiseman,C,2.16/ 7'1'',2020,2021,1
32,Christian Wood,C/PF,2.08/ 6'10'',2015,2021,5
33,Robert Woodard,SG/SF,2.01/ 6'7'',2020,2021,1
34,Delon Wright,PG/SG,1.96/ 6'5'',2015,2021,6
0,Thaddeus Young,PF/C,2.03/ 6'8'',2007,2021,14
1,Trae Young,PG,1.85/ 6'1'',2018,2021,3
0,Cody Zeller,C,2.13/ 7'0'',2013,2021,8
1,Ivica Zubac,C,2.13/ 7'0'',2016,2021,5
