"fantasyPointsRank","playerName","teamName","position","byeWeek","games","fantasyPoints","passComp","passAtt","passYds","passTd","passInt","passSacked","rushAtt","rushYds","rushTd","recvTargets","recvReceptions","recvYds","recvTd","fumbles","fumblesLost","twoPt","returnYds","returnTd","fgMade019","fgAtt019","fgMade2029","fgAtt2029","fgMade3039","fgAtt3039","fgMade4049","fgAtt4049","fgMade50plus","fgAtt50plus","patMade","patAtt","dstSacks","dstSafeties","dstInt","dstFumblesForced","dstFumblesRecovered","dstTd","dstReturnYds","dstReturnTd","dstPts0","dstPts16","dstPts713","dstPts1420","dstPts2127","dstPts2834","dstPts35plus","idpTacklesSolo","idpTacklesAssist","idpSacks","idpTacklesForLoss","idpPassDefended","idpInt","idpFumblesForced","idpFumblesRecovered","idpSafeties","idpTd"
"202","Allen Lazard","GB","wr","13","@CHI","6.1","0","0","0","0","0","0","0.127","0.6939","0.0041","2.9978","2.0585","28.9523","0.1794","0.0189","0.0095","0.0097","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"203","Chris Evans","CIN","rb","10","@DET","2.8","0","0","0","0","0","0","0.472","2.0779","0.0159","1.4175","1.1695","9.8672","0.0642","0.0666","0.0333","0.0024","73.9365","0.0436","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"204","Devonta Freeman","BLT","rb","8","LAC","2.7","0","0","0","0","0","0","2.7931","12.1267","0.0872","0.5928","0.4846","3.6603","0.0219","0.0291","0.0146","0.0019","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"205","Chris Moore","HST","wr","10","@IND","5.7","0","0","0","0","0","0","0","0","0","3.2502","2.2188","26.9111","0.1355","0.0235","0.0117","0.0049","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"206","Cedrick Wilson","DAL","wr","7","@NE","5.7","0","0","0","0","0","0","0.3252","1.7326","0.0095","2.9507","2.1303","24.3652","0.144","0.026","0.013","0.0069","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"207","Geoff Swaim","TEN","te","13","BUF","3.2","0","0","0","0","0","0","0","0","0","1.8332","1.4063","12.1436","0.0991","0.0147","0.0074","0.0033","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"208","Donald Parham","LAC","te","7","@BLT","3.2","0","0","0","0","0","0","0","0","0","1.7208","1.1468","14.5619","0.101","0.0122","0.0061","0.0045","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"209","Albert Wilson","MIA","wr","14","@JAX","5.6","0","0","0","0","0","0","0.0218","0.1047","0.0008","3.3601","2.5376","22.2462","0.1448","0.0246","0.0123","0.0071","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"210","Elijhaa Penny","NYG","rb","10","LA","2.3","0","0","0","0","0","0","3.8539","14.2748","0.072","0.3289","0.2679","1.8646","0.0085","0.0642","0.0321","0.0028","48.5206","0.0238","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"211","Travis Homer","SEA","rb","9","@PIT","2.3","0","0","0","0","0","0","0.2507","0.9939","0.0051","1.3828","1.1202","8.2932","0.0427","0.0149","0.0074","0.0018","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
